id,gestion,mes,saldo_anterior,produccion,entregado,boil_off_gas,saldo_actual,created_at,updated_at
38,2019,febrero,397.05,848.45,450.47,20.17,774.86,1763040464030.087,1763040464030.087
12,2016,diciembre,403.7,407.63,243.11,67.96,500.26,1763040464030.087,1763040464030.087
78,2022,junio,648.55,1315.47,1151.85,0.0,812.17,1763040464030.087,1763040464030.087
24,2017,diciembre,267.47,315.23,243.52,33.96,305.22,1763040464030.087,1763040464030.087
25,2018,enero,305.22,1000.56,458.58,0.0,847.2,1763040464030.087,1763040464030.087
94,2023,octubre,416.06,1367.09,1254.31,0.0,528.84,1763040464030.087,1763040464030.087
49,2020,enero,534.98,800.88,607.42,23.26,705.18,1763040464030.087,1763040464030.087
47,2019,noviembre,621.81,487.9,472.93,50.04,586.73,1763040464030.087,1763040464030.087
20,2017,agosto,348.59,751.07,387.28,11.48,700.9,1763040464030.087,1763040464030.087
33,2018,septiembre,746.22,266.43,512.9,48.55,451.2,1763040464030.087,1763040464030.087
1,2016,enero,0.0,0.0,0.0,0.0,0.0,1763040464030.087,1763040464030.087
76,2022,abril,215.3,646.09,622.93,25.77,212.69,1763040464030.087,1763040464030.087
106,2024,octubre,673.58,1032.96,1221.08,34.25,451.21,1763040464030.087,1763040464030.087
18,2017,junio,184.18,810.77,472.83,3.12,519.0,1763040464030.087,1763040464030.087
64,2021,abril,272.97,1196.94,721.66,3.64,744.61,1763040464030.087,1763040464030.087
110,2025,febrero,687.46,1186.72,1230.57,0.0,643.61,1763040464030.087,1763040464030.087
55,2020,julio,591.92,966.56,727.91,19.16,811.41,1763040464030.087,1763040464030.087
27,2018,marzo,532.31,234.36,421.08,52.54,293.05,1763040464030.087,1763040464030.087
23,2017,noviembre,750.1,0.0,420.92,61.71,267.47,1763040464030.087,1763040464030.087
58,2020,octubre,751.62,284.7,830.45,70.13,135.74,1763040464030.087,1763040464030.087
8,2016,agosto,555.31,140.72,76.64,101.68,517.71,1763040464030.087,1763040464030.087
